Rozmiary macierzy; pomiar nr 1; pomiar nr 2; pomiar nr 3; pomiar nr 4; pomiar nr 5; pomiar nr 6; pomiar nr 7; pomiar nr 8; pomiar nr 9; pomiar nr 10; srednia czasow
10;3;2;1;1;1;1;1;1;1;1;1.3
20;6;8;6;9;9;5;5;5;5;5;6.3
50;33;24;20;19;17;17;16;16;16;16;19.4
100;86;80;76;76;74;104;72;73;71;72;78.4
200;290;282;279;279;280;282;283;278;278;281;281.2
300;589;589;593;591;582;585;586;603;585;579;588.2
400;1000;999;1002;995;993;996;990;991;996;1003;996.5
500;1682;1507;1550;1516;1520;1515;1519;1527;1509;1516;1536.1
600;2216;2605;2194;2222;2156;2146;2159;2144;2149;2150;2214.1
700;3132;3125;2888;2882;2886;2879;2879;2890;2887;2937;2938.5
800;3741;3743;3740;3777;3764;3748;3749;3799;3755;3745;3756.1
900;4779;4771;4731;4739;4829;4747;4774;4738;4744;4736;4758.8
1000;5882;5834;5849;5866;5840;5811;5834;5849;5793;5944;5850.2
