Rozmiary macierzy,pomiar nr 1,pomiar nr 2,pomiar nr 3,pomiar nr 4,pomiar nr 5,pomiar nr 6,pomiar nr 7,pomiar nr 8,pomiar nr 9,pomiar nr 10
10,4,3,2,2,5,2,1,1,1,1
20,9,9,5,5,9,8,9,12,9,7
50,31,23,19,20,18,17,17,17,16,18
100,111,124,83,79,76,75,76,77,88,82
200,300,287,279,293,290,286,301,282,280,280
300,586,625,593,616,581,589,592,583,897,586
400,3308,1598,995,999,991,997,992,1000,1006,999
500,2074,1521,1520,1508,1521,1524,1514,1531,1505,1522
600,2274,2149,2147,2144,2399,2142,2146,2182,2166,2162
700,2996,2877,2884,2933,3337,2893,2892,2884,2898,2907
800,3778,3785,3744,3780,4557,3766,3746,3799,3739,3739
900,4797,4865,4797,4889,5665,4912,4761,4847,4739,4819
1000,5808,5976,5837,5803,5812,5844,5804,5813,5863,5829
