Liczebnosc instancji; 1 pomiar; 2 pomiar; 3 pomiar; 4 pomiar; 5 pomiar; 6 pomiar; 7 pomiar; 8 pomiar; 9 pomiar; 10 pomiar; srednia
10;3;2;1;1;1;2;1;1;1;1;1.4
20;7;10;7;5;6;6;6;6;5;6;6.4
50;32;33;50;30;27;26;30;29;30;23;31
100;92;86;92;79;90;84;98;81;76;76;85.4
200;309;300;292;299;295;294;312;296;310;301;300.8
300;647;643;644;778;771;767;755;638;648;786;707.7
400;1122;1117;1127;1260;1160;1106;1134;1103;1107;1134;1137
500;1691;1723;1788;1684;1683;1675;2003;1783;1678;1692;1740
600;2487;2476;2443;2556;2585;2454;2462;2609;2620;2465;2515.7
700;3405;3429;3508;3640;3633;3426;3485;3407;3448;3552;3493.3
800;4696;4574;4426;4388;4414;4512;4555;4404;4670;4441;4508
900;5501;5528;5519;5601;5596;5714;6582;5562;6759;6424;5878.6
1000;7089;8017;6816;6761;6857;6851;6869;6809;7079;10042;7319
