liczba instancji,1,2,3,4,5,6,7,8,9,10,srednia
10,0,0,0,0,0,0,0,0,0,0,0
50,2,1,1,1,0,1,1,0,1,0,0.8
100,6,4,2,2,2,2,2,2,2,1,2.5
500,37,29,22,18,15,13,13,13,15,12,18.7
1000,75,73,64,53,40,39,40,39,41,39,50.3
2000,157,153,140,145,149,128,135,123,131,129,139
5000,449,414,433,419,375,415,453,454,464,433,430.9
10000,996,982,830,984,837,985,894,909,799,857,907.3
20000,1747,1922,1985,1784,1848,2003,2000,1910,1882,1901,1898.2
50000,5246,5219,4561,5339,4539,5049,5062,4401,4632,4783,4883.1
100000,9582,9603,9493,10443,10530,9393,9354,10305,10921,10170,9979.4
200000,21384,21261,19418,19047,21529,21436,19012,19116,21961,21802,20596.6
300000,31312,33275,33810,32553,33088,30738,30835,30831,30846,33307,32059.5
500000,55146,54142,48886,52597,54480,53080,50894,52517,52499,51825,52606.6
700000,71711,74508,74354,74433,71545,75752,73354,78172,72008,73457,73929.4
900000,91793,100038,97050,91176,100331,94650,96080,96850,97538,101892,96739.8
1000000,105115,108506,100108,106119,107957,107591,104936,105365,108098,105948,105974
